sl_lev_va,date,PRECIPITATION,MAX_TEMP,MIN_TEMP,MEAN_TEMP
46.53,1970-04-09,0.0,81.0,55.0,68.0
46.57,1970-04-10,0.0,82.0,56.0,69.0
46.61,1970-04-11,0.0,82.0,59.0,70.5
46.67,1970-04-12,1.02,83.0,64.0,73.5
46.66,1970-04-13,0.0,85.0,61.0,73.0
46.68,1970-04-14,0.0,86.0,63.0,74.5
46.67,1970-04-15,0.0,85.0,59.0,72.0
46.66,1970-04-16,0.0,85.0,57.0,71.0
46.69,1970-04-17,0.0,86.0,60.0,73.0
46.73,1970-04-18,0.0,88.0,64.0,76.0
46.78,1970-04-19,0.0,90.0,63.0,76.5
46.76,1970-04-20,0.04,86.0,66.0,76.0
46.74,1970-04-21,0.0,90.0,65.0,77.5
46.71,1970-04-22,0.0,92.0,64.0,78.0
46.72,1970-04-23,0.0,91.0,66.0,78.5
46.74,1970-04-24,0.0,90.0,67.0,78.5
46.75,1970-04-25,0.0,87.0,65.0,76.0
46.75,1970-04-26,0.0,89.0,68.0,78.5
46.74,1970-04-27,0.0,91.0,67.0,79.0
46.74,1970-04-28,0.0,90.0,68.0,79.0
46.73,1970-04-29,0.0,91.0,68.0,79.5
46.73,1970-04-30,0.0,91.0,69.0,80.0
46.69,1970-05-01,0.0,89.0,66.0,77.5
46.7,1970-05-02,0.0,86.0,63.0,74.5
46.69,1970-05-03,0.0,87.0,60.0,73.5
46.68,1970-05-04,0.0,86.0,65.0,75.5
46.64,1970-05-05,0.0,79.0,50.0,64.5
46.62,1970-05-06,0.0,89.0,51.0,70.0
46.6,1970-05-07,0.0,90.0,60.0,75.0
46.58,1970-05-08,0.0,89.0,62.0,75.5
46.55,1970-05-09,0.0,88.0,64.0,76.0
46.53,1970-05-10,0.0,89.0,63.0,76.0
46.51,1970-05-11,0.0,89.0,64.0,76.5
46.48,1970-05-12,0.0,91.0,65.0,78.0
46.45,1970-05-13,0.0,92.0,60.0,76.0
46.41,1970-05-14,0.0,92.0,63.0,77.5
46.37,1970-05-15,0.0,94.0,66.0,80.0
46.33,1970-05-16,0.0,92.0,66.0,79.0
46.28,1970-05-17,0.01,91.0,68.0,79.5
46.22,1970-05-18,0.0,91.0,67.0,79.0
46.16,1970-05-19,0.0,86.0,66.0,76.0
46.14,1970-05-20,0.0,91.0,63.0,77.0
46.12,1970-05-21,0.0,93.0,61.0,77.0
46.09,1970-05-22,0.0,91.0,64.0,77.5
46.06,1970-05-23,0.0,90.0,65.0,77.5
46.11,1970-05-24,2.48,86.0,67.0,76.5
