,clean_text,retweets,favorites
144,New post on my blog: bmw e46 supercharger  ,0.0,0.0
145,X5 Año Click » https:// $ 90.000,1.0,0.0
146,"Come out to the Inventory Elimination Sale going on today at Driveway ...Medford BMW , Medford Nissan and Lithia...  ",0.0,0.0
147,"BMW is Convertible is BMW (2013 BMW is) $30479 Get this FREE, I'll show you how",0.0,0.0
148,RACING IN THE BMW i8! - Super Car   tm_source=ReviveOldPost&utm_mediumcial&utm_campaign=ReviveOldPost …,0.0,0.0
149,BMW K1100 LT CAFE RACER,0.0,0.0
150,  -bmw-other.html … BMW CS,0.0,0.0
151,The BMW i8 Technology  ,1.0,0.0
152,BMW -Series i Sport E60 Sedan ⇒ https://,0.0,0.0
153,Failed test drive BMW questions is buy or not to buy,0.0,1.0
154,BMW E53 X5 Navigation LCD Screen Replacement DIY ⇒ https://,0.0,0.0
155,REMATCH : BMW (E92) ///M3 VS Camaro SS (A6) /4 Mile ⇒ https://,0.0,0.0
156,BMW i Coupe Review ⇒ https://,0.0,0.0
157,BMW i3 Base Hatchback -Door BMW I3 MEGA E-DRIVE ELECTRIC NAVIGATION   -19255-0/1?ff3=2&toolid=10039&campid=5337386977&item=192061579779&vectorid=229466&lgeo=1&utm_sourcelvr.it&utm_medium=twitter …,0.0,0.0
158,BMW X1 sDrive28i sDrive28i dr SUV Automatic Gasoline L -Cyl DOHC V TwinPower Turbo   -19255-0/1?ff3=2&toolid=10039&campid=5337386977&item=311766939381&vectorid=229466&lgeo=1&utm_sourcelvr.it&utm_medium=twitter …,0.0,0.0
159,BMW R-Series for Sale in Canada   ycles/2009-bmw-r-series-5-2-39258.html …,0.0,0.0
160,"So, mins left til new year. I'M FROM THE FUTURE, ON THE ST OF JAN ANDROIDS WILL COME TO YOUR TIME. ONE IS A WHITE BMW",0.0,2.0
161,BMW S1000RR K Test Run with GO Pro Black Mount K:   via,0.0,0.0
162,HOPE ORIGINAL OWNER MADE A FORTUNE: BMW M1 found in Italian garage after years . /bmw-m1-found-in-italian-garage-after-34-years.html …,1.0,1.0
163,Happy New Year. Be you and ...  ,0.0,0.0
164,  -bmw-other.html … BMW CS,0.0,0.0
165,bmw x5 vs porsche cayenne  ,0.0,0.0
166,A great reminder for the New Year’s celebration from BMW . Don’t Drink and Drive.,0.0,0.0
167,New post on my blog: used bmw  ,0.0,0.0
168,New post on my blog: gina bmw  ,0.0,0.0
169,New post on my blog: bmw x5 vs porsche cayenne  ,0.0,0.0
